"","x"
"160",5.645
"161",3.704
"162",7.181
"163",1.494
"164",39.892
"165",44.414
"166",981
"167",1.992
"168",4.148
"169",6.762
"170",41.833
"171",6.6
"172",7.993
"173",3.71
"174",3.868
"175",3.546
"176",2.659
"177",5.338
"178",5.289
"179",7.219
"180",6.948
"181",834
"182",18.331
"183",8.571
"184",4.652
"185",8.744
"186",36.562
"187",39.535
"188",4.07
"189",3.155
"190",30.288
"191",1.546
"192",1.144
"193",8.251
"194",32.882
"195",3.452
"196",2.949
"197",39.614
"198",2.948
"199",3.079
"200",16.255
"201",1.392
"202",34.041
"203",5.076
"204",16.121
"205",5.372
"206",6.418
"207",10.412
"208",37.13
"209",6.031
"210",1.055
"211",14.552
"212",1.107
"213",4.792
"214",4.546
"215",2.52
"216",49.641
"217",2.848
"218",3.971
"219",697
"220",6.089
"221",1.335
"222",5.24
"223",6.813
"224",1.613
"225",4.528
"226",44.932
"227",1.381
"228",1.271
"229",30.45
"230",1.413
"231",1.927
"232",5.876
"233",1.584
"234",4.002
"235",651
"236",19.545
"237",5.117
"238",2.743
"239",7.323
"240",39.425
"241",8.395
"242",3.485
"243",8.336
"244",5.385
"245",23.949
"246",37.211
"247",7.531
"248",1.159
"249",9.933
"250",3.564
"251",25.664
"252",7.859
"253",7.808
"254",1.261
"255",975
"256",5.086
"257",1.31
"258",4.448
"259",5.878
"260",1.992
"261",8.502
"262",3.267
"263",900
"264",1.161
"265",11.976
"266",3.919
"267",39.833
"268",4.599
"269",4.39
"270",18.535
"271",8.386
"272",1.511
"273",8.062
"274",6.724
"275",2.86
"276",3.423
"277",8.002
"278",4.765
"279",3.075
"280",5.624
"281",2.622
"282",3.83
"283",45.894
"284",32.239
"285",8.4
"286",7.781
"287",36.267
"288",8.006
"289",2.896
"290",2.479
"291",3.919
"292",7.478
"293",9.785
"294",2.847
"295",7.223
"296",4.263
"297",5.581
"298",7.486
"299",33.388
"300",6.474
"301",9.718
"302",5.531
"303",2.982
"304",1.142
"305",9.773
"306",1.402
"307",6.322
"308",5.398
"309",3.908
"310",5.982
"311",3.826
"312",9.197
"313",1.712
"314",17.691
"315",3.546
"316",9.085
"317",6.822
"318",5.575
"319",10.147
"320",4.02
"321",10.265
"322",31.401
"323",32.115
"324",33.218
"325",3.805
"326",4.326
"327",1.278
"328",6.281
"329",8.295
"330",4.748
"331",6.668
"332",6.632
"333",7.875
"334",37.066
"335",3.979
"336",7.822
"337",10.421
"338",3.211
"339",9.231
"340",5.639
"341",49.131
"342",2.933
"343",4.426
"344",23.972
"345",1.414
"346",6.523
"347",40.386
"348",1.031
"349",8.431
"350",2.974
"351",4.236
"352",11.226
"353",26.871
"354",36.7
"355",4.992
"356",3.542
"357",2.928
"358",8.466
"359",43.17
"360",16.545
"361",7.357
"362",7.792
"363",958
"364",1.368
"365",6.042
"366",6.913
"367",8.19
"368",6.494
"369",35.585
"370",6.712
"371",5.29
"372",3.805
"373",10.31
"374",8.73
"375",1.994
"376",12.204
"377",5.007
"378",4.784
"379",30.001
"380",5.545
"381",5.784
"382",29.447
"383",5.818
"384",8.533
"385",3.753
"386",3.647
"387",9.237
"388",15.849
"389",5.519
"390",5.172
"391",41.669
"392",1.842
"393",3.928
"394",4.148
"395",4.92
"396",3.722
"397",6.826
"398",7.888
"399",5.858
"400",7.645
"401",7.637
"402",3.79
"403",7.081
"404",8.043
"405",2.772
"406",30.094
"407",21.205
"408",28.274
"409",8.657
"410",2.08
"411",2.904
"412",45.337
"413",8.752
"414",5.477
"415",9.136
"416",3.165
"417",3.787
"418",3.825
"419",1.699
"420",1.775
"421",3.029
"422",5.184
"423",3.751
"424",37.876
"425",9.063
"426",38.815
"427",6.657
"428",1.015
"429",6.936
"430",3.231
"431",7.665
"432",4.082
"433",3.134
"434",34.941
"435",34.507
"436",754
"437",46.625
"438",36
"439",35.165
"440",2.602
"441",23.432
"442",4.477
"443",6.739
"444",52.445
"445",1.263
"446",10.612
"447",8.091
"448",42.82
"449",5.618
"450",5.399
"451",1.371
"452",23.756
"453",4.94
"454",52.068
"455",5.903
"456",33.03
"457",5.632
"458",29.379
"459",2.657
"460",1.157
"461",969
"462",30.571
"463",5.115
"464",12.269
"465",7.611
"466",5.399
"467",6.12
"468",9.575
"469",3.175
"470",5.289
"471",3.81
"472",39.168
"473",37.066
"474",7.558
"475",1.946
"476",4.865
"477",25.089
"478",17.857
"479",7.864
"480",24.93
"481",3.558
"482",4.646
"483",4.716
"484",14.357
"485",6.545
"486",5.493
"487",9.925
"488",30.944
"489",25.433
"490",3.019
"491",5.476
"492",20.06
"493",3.118
"494",7.166
"495",7.94
"496",565
"497",11.095
"498",3.783
"499",1.686
"500",3.176
"501",6.485
"502",2.988
"503",2.611
"504",25.313
"505",7.649
"506",7.247
"507",26.686
"508",6.088
"509",7.89
"510",43.052
"511",32.99
"512",7.575
"513",3.846
"514",1.681
"515",5.03
"516",5.393
"517",5.419
"518",6.927
"519",2.415
"520",1.404
"521",5.484
"522",3.655
"523",1.678
"524",3.777
"525",1.3
"526",37.285
"527",7.276
"528",11.728
"529",7.303
"530",2.988
"531",5.782
"532",8.403
"533",7.228
"534",3.23
"535",6.111
"536",6.373
"537",3.226
"538",30.922
"539",6.697
"540",2.616
"541",18.289
"542",5.833
"543",5.04
"544",25.614
"545",28.321
"546",37.129
"547",9.849
"548",7.476
"549",7.535
"550",8.917
"551",7.16
"552",9.098
"553",1.826
"554",982
"555",8.752
"556",5.04
"557",5.222
"558",33.075
"559",2.367
"560",7.567
"561",14.646
"562",5.524
"563",4.235
"564",6.265
"565",1.391
"566",6.138
"567",11.035
"568",3.816
"569",1.738
"570",5.09
"571",4.843
"572",4.821
"573",9.416
"574",3.22
"575",17.308
"576",2.757
"577",9.624
"578",7.41
"579",4.858
"580",1.799
"581",1.434
"582",31.379
"583",4.037
"584",30.363
"585",1.344
"586",5.555
"587",2.721
"588",2.555
"589",9.828
"590",26.023
"591",19.899
"592",47.837
"593",4.905
"594",11.653
"595",7.497
"596",5.984
"597",9.642
"598",8.521
"599",5.971
"600",29.471
"601",2.482
"602",8.837
"603",4.959
"604",6.937
"605",35.737
"606",3.373
"607",1.108
"608",4.111
"609",8.296
"610",29.865
"611",3.441
"612",4.346
"613",7.797
"614",7.893
"615",7.421
"616",32.562
"617",8.377
"618",27.872
"619",9.267
"620",1.327
"621",3.182
"622",4.211
"623",7.628
"624",1.038
"625",3.73
"626",28.386
"627",11.963
"628",41.621
"629",1.218
"630",11.353
"631",28.366
"632",3.357
"633",4.891
"634",4.761
"635",1.429
"636",4.931
"637",37.667
"638",13.518
"639",7.278
"640",26.114
"641",4.423
"642",11.836
"643",3.461
"644",20.778
"645",29.205
"646",3.252
"647",9.343
"648",38.683
"649",10.118
"650",50.111
"651",3.278
"652",1.348
"653",6.739
"654",6.606
"655",2.189
"656",1.15
"657",9.837
"658",6.627
"659",21.014
"660",7.037
"661",4.582
"662",5.759
"663",6.364
"664",2.513
"665",31.796
"666",856
"667",5.699
"668",6.027
"669",6.755
"670",2.053
"671",7.946
"672",4.678
"673",29.781
"674",36.757
"675",4.545
"676",5.737
"677",9.883
"678",4.189
"679",4.997
"680",38.892
"681",4.936
"682",27.127
"683",6.706
"684",5.511
"685",4.755
"686",15.686
"687",32.008
"688",4.648
"689",4.373
"690",6.844
"691",4.611
"692",6.691
"693",4.652
"694",6.801
"695",4.653
"696",7.109
"697",3.96
"698",46.652
"699",6.125
"700",44.429
"701",734
"702",18.979
"703",6.33
"704",33.223
"705",7.07
"706",4.196
"707",10.264
"708",4.383
"709",5.612
"710",2.575
"711",13.182
"712",3.421
"713",4.74
"714",1.174
"715",34.151
"716",31.127
"717",9.144
"718",3.845
"719",4.558
"720",4.567
"721",6.895
"722",6.377
"723",2.299
"724",4.632
"725",4.256
"726",38.774
"727",2.521
"728",17.963
"729",1.208
"730",27.959
"731",1.2
"732",7.903
"733",7.373
"734",6.542
"735",1.402
"736",5.946
"737",35.53
"738",1.332
"739",2.82
"740",4.704
"741",6.556
"742",4.526
"743",5.262
"744",5.867
"745",27.758
"746",6.715
"747",1.372
"748",2.307
"749",30.791
"750",9.533
"751",1.243
"752",9.633
"753",32.61
"754",6.391
"755",1.65
"756",3.11
"757",5.386
"758",4.233
"759",3.799
"760",1.836
"761",48.188
"762",8.584
"763",3.978
"764",7.733
"765",5.241
"766",11.743
"767",5.084
"768",28.889
"769",5.558
"770",4.365
"771",1.829
"772",1.773
"773",1.389
"774",2.49
"775",3.045
"776",2.317
"777",8.34
"778",54.399
"779",32.639
"780",22.345
"781",1.122
"782",8.413
"783",1.421
"784",25.866
"785",3.444
"786",5.389
"787",7.248
"788",39.204
"789",8.786
"790",7.952
"791",7.918
"792",5.608
"793",5.697
"794",3.05
"795",16.951
"796",1.994
"797",11.742
"798",21.581
"799",2.942
"800",24.183
"801",5.049
"802",8.694
"803",6.43
"804",8.376
"805",7.811
"806",6.939
"807",5.892
"808",9.485
"809",6.479
"810",6.247
"811",10.823
"812",5.101
"813",2.569
"814",4.957
"815",3.005
"816",5.228
"817",3.387
"818",1.109
"819",2.631
"820",6.984
"821",3.331
"822",1.529
"823",6.161
"824",8.894
"825",9.667
"826",24.31
"827",2.999
"828",1.881
"829",4.995
"830",5.002
"831",6.29
"832",5.135
"833",45.254
"834",9.175
"835",5.766
"836",34.506
"837",6.031
"838",7.784
"839",6.566
"840",2.321
"841",5.911
"842",2.487
"843",3.948
"844",5.219
"845",1.83
"846",5.229
"847",28.353
"848",9.091
"849",4.441
"850",2.207
"851",34.195
"852",10.102
"853",4.733
"854",5.326
"855",7.387
"856",8.273
"857",35.098
"858",43.297
"859",8.342
"860",943
"861",6.244
"862",6.974
"863",36.486
"864",6.399
"865",30.343
"866",30.089
"867",7.644
"868",4.52
"869",41.917
"870",3.989
"871",3.754
"872",39.315
"873",3.601
"874",6.712
"875",30.605
"876",5.029
"877",3.457
"878",3.694
"879",4.733
"880",5.288
"881",4.436
"882",7.428
"883",10.139
"884",3.367
"885",4.676
"886",2.925
"887",6.914
"888",3.432
"889",7.194
"890",3.437
"891",3.8
"892",27.439
"893",24.512
"894",1.606
"895",8.518
"896",8.393
"897",37.404
"898",1.003
"899",2.409
"900",5.65
"901",9.011
"902",3.488
"903",25.13
"904",5.093
"905",7.314
"906",2.621
"907",26.426
"908",3.402
"909",7.744
"910",23.418
"911",5.203
"912",25.401
"913",9.845
"914",13.752
"915",1.421
"916",5.346
"917",6.937
"918",3.443
"919",4.409
"920",2.645
"921",47.939
"922",1.022
"923",1.423
"924",5.064
"925",1.184
"926",41.303
"927",1.358
"928",1.086
"929",9.851
"930",3.927
"931",9.228
"932",2.996
"933",5.106
"934",1.698
"935",6.187
"936",3.904
"937",4.697
"938",6.295
"939",4.824
"940",4.39
"941",9.237
"942",3.795
"943",3.996
"944",3.534
"945",33.089
"946",53.477
"947",5.303
"948",39.973
"949",7.466
"950",3.17
"951",25.081
"952",4.4
"953",4.478
"954",5.278
"955",4.448
"956",1.433
"957",9
"958",9.736
"959",2.168
"960",3.011
"961",5.872
"962",9.712
"963",7.333
"964",1.449
"965",36.744
"966",4.007
"967",5.328
"968",46.442
"969",8.258
"970",35.375
"971",4.219
"972",31.039
"973",7.105
"974",2.219
"975",3.924
"976",1.67
"977",3.424
"978",4.749
"979",1.867
"980",7.746
"981",24.208
"982",5.926
"983",40.521
"984",28.456
"985",5.916
"986",7.931
"987",8.636
"988",4.179
"989",3.771
"990",6.527
"991",4.845
"992",3.886
"993",7.475
"994",9.866
"995",8.727
"996",34.02
"997",5.458
"998",10.535
"999",4.538
"1000",8.385
"1001",8.193
"1002",39.019
"1003",3.587
"1004",8.739
"1005",37.689
"1006",893
"1007",25.804
"1008",9.23
"1009",4.318
"1010",9.894
"1011",6.223
"1012",3.078
"1013",7.463
"1014",5.088
"1015",6.024
"1016",3.196
"1017",9.788
"1018",5.916
"1019",9.568
"1020",6.449
"1021",3.442
"1022",36.54
"1023",10.942
"1024",3.502
"1025",8.506
"1026",20.581
"1027",19.751
"1028",2.131
"1029",6.2
"1030",8.153
"1031",1.815
"1032",1.797
"1033",1.4
"1034",4.069
"1035",20.463
"1036",2.595
"1037",19.685
"1038",8.864
"1039",47.389
"1040",31.83
"1041",4.796
"1042",4.017
"1043",20.084
"1044",7.274
"1045",45.879
"1046",981
"1047",952
"1048",725
"1049",1.493
"1050",4.948
"1051",8.579
"1052",698
"1053",5.05
"1054",23.451
"1055",44.99
"1056",6.191
"1057",2.74
"1058",6.581
"1059",2.118
"1060",9.583
"1061",3.891
"1062",6.936
"1063",6.966
"1064",11.692
"1065",6.796
"1066",4.839
"1067",6.379
"1068",50.807
"1069",21.525
"1070",4.422
"1071",6.521
"1072",3.01
"1073",3.535
"1074",2.932
"1075",4.535
"1076",5.375
"1077",4.603
"1078",17.775
"1079",7.079
"1080",3.691
"1081",17.919
"1082",7.693
"1083",25.777
"1084",8.023
"1085",30.981
"1086",1.297
"1087",1.191
"1088",25.622
"1089",3.997
"1090",26.452
"1091",24.718
"1092",1.449
"1093",9.155
"1094",937
"1095",2.576
"1096",36.661
"1097",14.954
"1098",43.725
"1099",32.671
"1100",1.448
"1101",5.863
"1102",2.088
"1103",5.581
"1104",1.935
"1105",6.194
"1106",4.253
"1107",11.754
"1108",4.397
"1109",1.814
"1110",4.634
"1111",4.265
"1112",9.09
"1113",2.796
"1114",4.503
"1115",4.094
"1116",3.741
"1117",743
"1118",5.936
"1119",1.744
"1120",4.478
"1121",7.986
"1122",5.924
"1123",7.756
"1124",5.528
"1125",7.714
"1126",50.347
"1127",2.005
"1128",5.02
"1129",45.332
"1130",3.255
"1131",23.866
"1132",19.115
"1133",4.098
"1134",7.153
"1135",51.345
"1136",25.752
"1137",8.834
"1138",3.834
"1139",1.928
"1140",31.687
"1141",6.186
"1142",6.68
"1143",9.512
"1144",37.583
"1145",5.495
"1146",1.042
"1147",1.524
"1148",785
"1149",9.402
"1150",3.644
"1151",1.524
"1152",9.868
"1153",6.968
"1154",5.957
"1155",39.717
"1156",3.96
"1157",20.587
"1158",1.234
"1159",6.978
"1160",25.188
"1161",5.239
"1162",7.788
"1163",34.237
"1164",7.119
"1165",19.336
"1166",2.308
"1167",3.173
"1168",46.746
"1169",7.82
"1170",21.229
"1171",36.646
"1172",45.838
"1173",2.047
"1174",3.653
"1175",6.455
"1176",3.117
"1177",23.078
"1178",8.446
"1179",4.811
"1180",3.191
"1181",2.448
"1182",10.584
"1183",48.743
"1184",42.332
"1185",4.89
"1186",4.016
"1187",4.232
"1188",4.773
"1189",4.317
"1190",3.087
"1191",7.417
"1192",13.102
"1193",9.867
"1194",22.215
"1195",1.853
"1196",3.904
"1197",10.494
"1198",6.061
"1199",24.295
"1200",5.176
"1201",3.791
"1202",6.274
"1203",1.858
"1204",4.567
"1205",5.095
"1206",40.682
"1207",33.385
"1208",3.728
"1209",7.313
"1210",6.997
"1211",7.414
"1212",8.999
"1213",4.657
"1214",3.841
"1215",32.593
"1216",519
"1217",44.668
"1218",7.467
"1219",8.167
"1220",7.291
"1221",1.57
"1222",7.205
"1223",43.863
"1224",2.045
"1225",49.613
"1226",32.044
"1227",2.548
"1228",6.003
"1229",3.255
"1230",40.567
"1231",5.9
"1232",3.09
"1233",5.722
"1234",7.258
"1235",7.239
"1236",6.646
"1237",6.142
"1238",1.645
"1239",14.074
"1240",957
"1241",16.816
"1242",10.064
"1243",37.412
"1244",1.109
"1245",6.55
"1246",6.941
"1247",3.174
"1248",23.116
"1249",6.35
"1250",6.902
"1251",7.869
"1252",8.806
"1253",6.841
"1254",5.379
"1255",3.018
"1256",11.626
"1257",5.944
"1258",28.753
"1259",10.086
"1260",1.749
"1261",2.985
"1262",7.017
"1263",8.085
"1264",3.961
"1265",712
"1266",46.761
"1267",6.038
"1268",1.452
"1269",2.769
"1270",583
"1271",7.383
"1272",5.446
"1273",29.378
"1274",5.245
"1275",2.248
"1276",4.227
"1277",6.616
"1278",2.085
"1279",1.084
"1280",25.495
"1281",42.944
"1282",8.109
"1283",30.91
"1284",5.571
"1285",20.631
"1286",6.722
"1287",3.029
"1288",6.055
"1289",2.986
"1290",1.247
"1291",633
"1292",521
"1293",3.199
"1294",4.45
"1295",37.729
"1296",1.358
"1297",8.057
"1298",1.237
"1299",9.282
"1300",3.564
"1301",6.217
"1302",6.952
"1303",7.25
"1304",5.466
"1305",6.863
"1306",35.72
"1307",3.636
"1308",1.951
"1309",5.516
"1310",2.74
"1311",7.292
"1312",27.444
"1313",7.506
"1314",2.468
"1315",2.333
"1316",7.999
"1317",12.609
"1318",7.367
"1319",5.396
"1320",33.315
"1321",34.492
"1322",10.877
"1323",6.857
"1324",5.897
"1325",5.139
"1326",4.035
"1327",5.267
"1328",6.24
"1329",3.338
"1330",5.456
"1331",3.148
"1332",4.327
"1333",6.158
"1334",8.88
"1335",9.459
"1336",6.02
"1337",10.024
"1338",4.441
"1339",2.157
"1340",42.642
"1341",5.935
"1342",18.366
"1343",7.547
"1344",38.528
"1345",8.306
"1346",746
"1347",6.05
"1348",5.764
"1349",2.457
"1350",41.137
"1351",8.303
"1352",1.463
"1353",3.52
"1354",4.344
"1355",1.571
"1356",8.013
"1357",6.986
"1358",6.259
"1359",6.413
"1360",38.832
"1361",3.969
"1362",4.805
"1363",1.451
"1364",2.8
"1365",5.068
"1366",8.599
"1367",5.372
"1368",8.618
"1369",8.818
"1370",6.035
"1371",4.987
"1372",8.292
"1373",3.627
"1374",3.319
"1375",1.757
"1376",5.259
"1377",582
"1378",1.479
"1379",3.977
"1380",5.059
"1381",5.077
"1382",3.34
"1383",20.33
"1384",7.829
"1385",2.043
"1386",4.62
"1387",6.755
"1388",4.826
"1389",9.795
"1390",3.983
"1391",4.263
"1392",7.496
"1393",11.407
"1394",2.549
"1395",5.384
"1396",1.38
"1397",6.17
"1398",7.499
"1399",46.912
"1400",3.603
"1401",1.124
"1402",4.438
"1403",5.292
"1404",1.143
"1405",7.812
"1406",31.073
"1407",3.409
"1408",4.188
"1409",11.027
"1410",44.214
"1411",1.501
"1412",3.092
"1413",5.734
"1414",4.004
"1415",39.397
"1416",3.38
"1417",6.351
"1418",2.412
"1419",8.737
"1420",2.977
"1421",6.456
"1422",48.01
"1423",3.636
"1424",39.71
"1425",5.829
"1426",17.445
"1427",20.115
"1428",5.898
"1429",4.056
"1430",2.069
"1431",6.68
"1432",1.208
"1433",4.559
"1434",3.502
"1435",5.29
"1436",4.35
"1437",16.328
"1438",6.495
"1439",3.246
"1440",3.996
"1441",2.911
"1442",24.139
"1443",11.909
"1444",2.733
"1445",9.937
"1446",6.534
"1447",3.416
"1448",1.372
"1449",6.617
"1450",4.564
"1451",31.213
"1452",4.74
"1453",7.861
"1454",6.591
"1455",5.244
"1456",40.943
"1457",37.412
"1458",10.491
"1459",4.814
"1460",4.497
"1461",1.263
"1462",8.455
"1463",3.137
"1464",6.417
"1465",10.474
"1466",25.235
"1467",7.006
"1468",7.186
"1469",2.257
"1470",5.211
"1471",3.608
"1472",7.378
"1473",8.283
"1474",4.165
"1475",4.266
"1476",8.194
"1477",8.352
"1478",865
"1479",1.744
"1480",13.665
"1481",23.659
"1482",6.935
"1483",8.037
"1484",15.821
"1485",27.094
"1486",6.711
"1487",22.248
"1488",2.768
"1489",9.448
"1490",6.73
"1491",2.039
"1492",46.6
"1493",6.264
"1494",3.485
"1495",3.28
"1496",3.922
"1497",6.931
"1498",5.82
"1499",3.202
"1500",6.985
"1501",4.728
"1502",33.656
"1503",27.896
"1504",3.374
"1505",7.705
"1506",5.914
"1507",3.348
"1508",4.824
"1509",8.132
"1510",40.45
"1511",7.049
"1512",9.969
"1513",35.07
"1514",2.088
"1515",8.514
"1516",1.343
"1517",47.414
"1518",10.546
"1519",10.205
"1520",51.593
"1521",3.95
"1522",6.016
"1523",4.253
"1524",11.132
"1525",7.204
"1526",7.905
"1527",5.817
"1528",9.715
"1529",11.389
"1530",6.987
"1531",6.815
"1532",23.06
"1533",5.481
"1534",812
"1535",3.901
"1536",6.682
"1537",24.546
"1538",3.482
"1539",720
"1540",6.181
"1541",5.192
"1542",8.692
"1543",1.776
"1544",5.375
"1545",1.564
"1546",1.833
"1547",506
"1548",5.436
"1549",22.443
"1550",1.011
"1551",5.891
"1552",7.579
"1553",27.746
"1554",10.474
"1555",39.424
"1556",1.534
"1557",1.19
"1558",5.761
"1559",1.455
"1560",4.514
"1561",6.87
"1562",11.07
"1563",11.213
"1564",6.637
"1565",8.566
"1566",35.134
"1567",7.108
"1568",6.466
"1569",6.302
"1570",10.842
"1571",38.19
"1572",6.324
"1573",6.985
"1574",2.158
"1575",5.477
"1576",8.375
"1577",7
"1578",725
"1579",8.206
"1580",17.393
"1581",4.576
"1582",32.589
"1583",4.162
"1584",1.982
"1585",6.412
"1586",7.642
"1587",1.101
"1588",7.601
"1589",4.567
"1590",10.321
"1591",2.159
"1592",2.619
"1593",20.667
"1594",9.351
"1595",4.734
"1596",4.123
"1597",548
"1598",6.444
"1599",3.545
"1600",3.137
"1601",9.239
"1602",8.51
"1603",44.735
"1604",1.294
"1605",3.863
"1606",3.132
"1607",5.303
"1608",12.098
"1609",6.69
"1610",3.115
"1611",29.536
"1612",2.459
"1613",5.15
"1614",8.743
"1615",502
"1616",6.841
"1617",2.629
"1618",1.517
"1619",32.922
"1620",4.352
"1621",6.71
"1622",14.915
"1623",1.304
"1624",3.988
"1625",8.171
"1626",5.601
"1627",3.165
"1628",27.779
"1629",985
"1630",2.09
"1631",3.181
"1632",1.118
"1633",11.58
"1634",3.987
"1635",13.397
"1636",13.272
"1637",6.248
"1638",4.423
"1639",3.59
"1640",2.775
"1641",11.32
"1642",4.638
"1643",9.609
"1644",7.014
"1645",18.264
"1646",8.288
"1647",23.433
"1648",4.402
"1649",5.118
"1650",10.941
"1651",2.272
"1652",44.891
"1653",7.07
"1654",3.327
"1655",4.352
"1656",6.135
"1657",34.196
"1658",36.025
"1659",6.349
"1660",7.67
"1661",5.109
"1662",974
"1663",5.81
"1664",33.581
"1665",4.123
"1666",4.185
"1667",3.573
"1668",7.341
"1669",19.595
"1670",27.503
"1671",6.494
"1672",1.852
"1673",9.453
"1674",7.588
"1675",22.598
"1676",7.211
"1677",5.071
"1678",5.705
"1679",1.437
"1680",3.338
"1681",6.72
"1682",29.651
"1683",4.519
"1684",1.128
"1685",29.017
"1686",3.96
"1687",4.558
"1688",2.434
"1689",7.323
"1690",4.939
"1691",2.916
"1692",1.007
"1693",1.188
"1694",3.986
"1695",10.383
"1696",5.006
"1697",3.631
"1698",32.145
"1699",3.869
"1700",7.419
"1701",13.591
"1702",4.447
"1703",6.117
"1704",7.343
"1705",6.162
"1706",26.827
"1707",1.155
"1708",7.399
"1709",8.835
"1710",30.807
"1711",5.827
"1712",7.327
"1713",6.985
"1714",778
"1715",19.69
"1716",6.552
"1717",2.101
"1718",3.481
"1719",6.856
"1720",5.837
"1721",3.977
"1722",30.076
"1723",26.318
"1724",677
"1725",2.516
"1726",29.82
"1727",34.233
"1728",6.06
"1729",824
"1730",3.047
"1731",5.236
"1732",11.528
"1733",5.767
"1734",8.41
"1735",5.293
"1736",8.183
"1737",7.244
"1738",7.759
"1739",3.826
"1740",19.596
"1741",3.6
"1742",20.38
"1743",6.436
"1744",6.375
"1745",31.992
"1746",1.936
"1747",4.754
"1748",8.598
"1749",4.078
"1750",2.018
"1751",38.197
"1752",2.154
"1753",2.21
"1754",21.533
"1755",5.9
"1756",6.905
"1757",4.518
"1758",5.353
"1759",17.009
"1760",23.013
"1761",6.196
"1762",7.196
"1763",42.845
"1764",9.527
"1765",6.238
"1766",2.175
"1767",32.164
"1768",4.5
"1769",5.029
"1770",6.867
"1771",4.563
"1772",9.637
"1773",1.54
"1774",3.751
"1775",8.17
"1776",4.895
"1777",3.165
"1778",8.756
"1779",7.016
"1780",4.597
"1781",19.016
"1782",1.815
"1783",6.168
"1784",5.336
"1785",1.909
"1786",597
"1787",8.294
"1788",36.775
"1789",3.409
"1790",4.466
"1791",2.104
"1792",4.896
"1793",21.481
"1794",6.902
"1795",6.271
"1796",3.867
"1797",7.557
"1798",32.135
"1799",5.714
"1800",5.726
"1801",954
"1802",19.629
"1803",2.615
"1804",8.748
"1805",6.049
"1806",4.794
"1807",53.986
"1808",6.018
"1809",1.769
"1810",15.089
"1811",57.037
"1812",5.551
"1813",4.326
"1814",6.753
"1815",10.138
"1816",42.226
"1817",36.179
"1818",5.101
"1819",5.807
"1820",5.603
"1821",3.842
"1822",29.964
"1823",31.063
"1824",9.093
"1825",30.605
"1826",8.151
"1827",33.825
"1828",642
"1829",34.545
"1830",3.068
"1831",4.482
"1832",9.981
"1833",5.399
"1834",8.255
"1835",23.719
"1836",14.738
"1837",3.605
"1838",8.956
"1839",3.587
"1840",8.39
"1841",24.392
"1842",8.268
"1843",958
"1844",6.124
"1845",8.255
"1846",17.88
"1847",19.005
"1848",12.797
"1849",30.5
"1850",5.755
"1851",6.321
"1852",7.147
"1853",5.909
"1854",2.605
"1855",24.681
"1856",3.928
"1857",13.154
"1858",8.048
"1859",5.784
"1860",40.315
"1861",3.486
"1862",7.238
"1863",33.036
"1864",4.765
"1865",4.43
"1866",44.702
"1867",49.148
"1868",3.742
"1869",7.076
"1870",4.238
"1871",20.847
"1872",7.285
"1873",1.391
"1874",50.724
"1875",34.123
"1876",9.185
"1877",6.745
"1878",4.136
"1879",977
"1880",5.101
"1881",9.516
"1882",32.687
"1883",29.869
"1884",1.474
"1885",1.395
"1886",44.291
"1887",35.98
