n	x
164	11451.48522765
165	11107.26903949
166	18013.07512787
167	5548.48081840
168	10847.95911162
169	6513.30087912
170	6492.10643592
171	6458.78936974
172	8467.02158565
173	2411.44974784
174	13579.45145558
175	8045.09406920
176	7217.06748474
177	6249.26653045
178	8944.06644079
179	9221.46844116
180	14086.18124719
181	8654.91265273
182	8977.30079294
183	11135.11396660
184	8395.04596486
185	7240.22168806
186	12569.39820307
187	10639.84890777
188	9383.10315704
189	22436.64020429
190	10385.57730434
191	14286.44251365
192	10448.95514192
193	8898.26112134
194	11678.56440150
195	9184.57893281
196	4653.58068418
197	18782.51113067
198	10309.12441598
199	17329.12512124
200	6484.79310580
201	7132.19588275
202	8339.34242892
203	11767.07834155
204	9021.23951934
205	10927.01143264
206	7376.12783257
207	11382.81745949
208	7481.00848304
209	7491.18319123
210	7123.06148874
211	20058.81099653
212	10213.85534356
213	13819.53243710
214	12006.80971172
215	7863.72012943
216	7188.07121605
217	14584.95080913
218	9880.86120321
219	10446.39024910
220	6293.62151684
221	16499.28616336
222	12665.53479069
223	6004.08073831
224	8053.85767152
225	11023.05050622
226	27768.73137994
227	8479.95492815
228	4655.15579870
229	10418.22748156
230	15803.36107265
231	9886.87669684
232	8959.63091351
233	5912.25184003
234	1257.95299117
235	13823.77777343
236	12644.20845942
237	16598.90736253
238	10226.53845633
239	7008.27770966
240	12949.40091435
241	6177.72485614
242	5647.45678622
243	7649.65437956
244	12254.13809423
245	9034.12251024
246	8040.25107243
247	7356.39658241
248	5374.57636710
249	8482.09721357
250	5148.70657416
251	16757.63694011
252	5858.07133795
253	18049.04806425
254	9546.63081316
255	12053.75911597
256	17297.46940418
257	10567.71688111
258	8706.91618508
259	6129.07367922
260	8395.12925927
261	4898.19452313
262	8953.72714559
263	6090.81195072
264	8428.04466439
265	10441.84295082
266	13382.18085361
267	9422.92814440
268	9854.00935262
269	22253.14483516
270	11453.92611945
271	8436.55386287
272	5530.20687135
273	5422.60211894
274	8460.63796578
275	9166.24340722
276	8027.63526679
277	7025.38414030
278	5696.99830451
279	19506.54688767
280	6942.23113664
281	6959.27154977
282	2932.12494732
283	16987.10494888
284	12044.92176929
285	5329.74425418
286	13005.70120451
287	2798.66027986
288	23999.34581923
289	5858.42928140
290	12814.53625994
291	5329.47502902
292	9946.46737615
293	7759.52091888
294	12509.76518058
295	5146.55361287
296	9713.82529302
297	19875.65463191
298	10815.09629859
299	11974.16138398
300	7510.73560587
301	14051.36522176
302	15592.15278375
303	10510.55435511
304	6759.49839677
305	7782.36642333
306	10289.39081813
307	12573.08550410
308	13476.36403830
309	4180.00232697
310	21525.95590306
311	7104.65363577
312	6492.17155746
313	7887.26460357
314	11532.77048134
315	10481.19231737
316	4307.51107149
317	9975.13035047
318	14034.27630331
319	11456.20579464
320	7749.35894692
321	5053.65578140
322	8361.99626539
323	6639.33157195
324	9736.95729919
325	11364.44811980
326	7382.73489692
327	8569.15952395
328	13747.21379266
329	17526.52596367
330	9786.99520422
331	6206.22910242
332	15903.44708686
333	10101.63104981
334	8532.78305956
335	5395.47723859
336	9005.41895758
337	6244.47394919
338	9841.12104430
339	6542.81593595
340	15899.83946258
341	19825.52034693
342	11316.42887815
343	6385.56102556
344	15523.69415145
345	9433.86712804
346	12861.92345741
347	6021.70043928
348	6829.66153473
349	7146.24493888
350	8799.96323020
351	12775.83496407
352	9326.79285049
353	3904.35264399
354	4544.78311335
355	6741.07721859
356	16137.89723564
357	13720.53320507
358	11103.78893875
359	10143.35641974
360	7242.56090693
361	4754.67523090
362	4308.06667194
363	15469.33599867
364	5833.80222344
365	11770.64678804
366	8284.87824551
367	6486.90381699
368	7138.94439688
369	9411.40440787
370	8149.61236723
371	9470.80187831
372	4846.33453390
373	10007.58198164
374	8224.76673314
375	10678.52305960
376	8189.24038285
377	9445.29144214
378	5830.49158404
379	8811.22113365
380	7767.17177410
381	23438.60998840
382	8997.17529601
383	14588.59603279
384	19671.46842408
385	2628.91610488
386	18701.90451029
387	7636.41361458
388	10411.98024328
389	2992.04436702
390	7195.81801230
391	11876.81331973
392	2752.08656711
393	10232.64292738
394	10111.15743265
395	6368.40956987
396	13615.70983697
397	1679.87854074
398	9097.80344251
399	9608.90700539
400	7127.43141124
